设计模式,模式类型,应用场景,实现类/接口,角色,职责描述,优势,使用频率,复杂度,扩展性
策略模式,行为型模式,计划执行策略选择,PlanExecutorInterface,抽象策略,定义执行计划的统一接口,算法族可互换,高,中,高
策略模式,行为型模式,计划执行策略选择,PlanExecutor,具体策略,实现标准顺序执行策略,支持基本执行流程,高,低,中
策略模式,行为型模式,计划执行策略选择,MapReducePlanExecutor,具体策略,实现MapReduce并行执行策略,支持高并发执行,中,高,高
策略模式,行为型模式,计划执行策略选择,PlanExecutorFactory,上下文,根据计划类型选择执行策略,封装策略选择逻辑,高,中,高
模板方法模式,行为型模式,工具执行框架,AbstractBaseTool,抽象模板,定义工具执行的骨架算法,统一工具调用流程,高,中,高
模板方法模式,行为型模式,工具执行框架,PlanningTool,具体实现,实现规划工具的具体逻辑,专门处理规划任务,高,中,中
模板方法模式,行为型模式,工具执行框架,FormInputTool,具体实现,实现表单输入工具的具体逻辑,处理用户输入交互,中,低,中
模板方法模式,行为型模式,工具执行框架,TerminateTool,具体实现,实现终止工具的具体逻辑,提供任务终止能力,中,低,低
模板方法模式,行为型模式,工具执行框架,DocLoaderTool,具体实现,实现文档加载工具的具体逻辑,处理文档加载任务,中,低,中
模板方法模式,行为型模式,计划执行框架,AbstractPlanExecutor,抽象模板,定义计划执行的骨架算法,统一执行流程控制,高,高,高
模板方法模式,行为型模式,智能体执行框架,BaseAgent,抽象模板,定义智能体执行的生命周期,统一智能体行为,高,高,高
工厂模式,创建型模式,对象创建管理,PlanningFactory,工厂类,创建规划协调器实例,封装复杂对象创建,中,中,中
工厂模式,创建型模式,对象创建管理,PlanExecutorFactory,工厂类,创建不同类型的执行器,根据类型创建执行器,高,中,高
组合模式,结构型模式,组件组合管理,PlanningCoordinator,组合对象,组合计划处理的各个组件,提供统一处理接口,中,中,中
组合模式,结构型模式,组件组合管理,PlanCreator,叶子组件,负责计划创建的具体实现,专门处理计划生成,中,高,中
组合模式,结构型模式,组件组合管理,PlanExecutorFactory,叶子组件,负责执行器工厂的具体实现,专门创建执行器,中,中,高
组合模式,结构型模式,组件组合管理,PlanFinalizer,叶子组件,负责计划完成的具体实现,专门处理计划收尾,中,中,低
适配器模式,结构型模式,接口适配,ToolCallBiFunctionDef,目标接口,定义统一的工具调用接口,统一不同工具的调用方式,高,低,高
适配器模式,结构型模式,接口适配,AbstractBaseTool,适配器,适配不同工具到统一接口,封装工具差异性,高,中,高
观察者模式,行为型模式,状态变化通知,AgentState,主题状态,定义智能体的各种状态,提供状态变化通知,低,低,中
观察者模式,行为型模式,状态变化通知,BaseAgent,观察者,观察和响应状态变化,根据状态执行相应逻辑,低,中,中
单例模式,创建型模式,服务实例管理,LlmService,单例服务,管理LLM服务的唯一实例,确保服务实例唯一性,中,低,低
单例模式,创建型模式,服务实例管理,UserInputService,单例服务,管理用户输入服务的唯一实例,避免状态冲突,中,低,低
