类型,包名,类名/接口名,属性,方法,描述,设计模式,关系类型,关联对象
接口,核心接口,ILlmService,,"getChatClient(): ChatClient, getPlanningChatClient(): ChatClient, getChatModel(): ChatModel",LLM服务核心接口,,实现,LlmService
接口,核心接口,ToolCallBiFunctionDef<I>,,"getName(): String, getDescription(): String, getParameters(): String, getInputType(): Class<I>, isReturnDirect(): boolean, setCurrentPlanId(planId: String): void, setRootPlanId(rootPlanId: String): void, getCurrentToolStateString(): String, cleanup(planId: String): void, apply(input: I, context: ToolContext): ToolExecuteResult",工具调用统一接口,策略模式,实现,AbstractBaseTool
接口,核心接口,PlanningToolInterface,,"getCurrentPlanId(): String, getCurrentPlan(): PlanInterface, getFunctionToolCallback(): FunctionToolCallback",规划工具接口,,实现,"PlanningTool, MapReducePlanningTool"
接口,核心接口,TerminableTool,,canTerminate(): boolean,可终止工具接口,,实现,TerminateTool
接口,核心接口,PlanExecutorInterface,,executeAllSteps(context: ExecutionContext): void,计划执行器接口,策略模式,实现,AbstractPlanExecutor
接口,核心接口,IUnifiedDirectoryManager,,"getWorkingDirectoryPath(): String, getWorkingDirectory(): Path, createTaskDirectory(taskId: String): Path, createPlanDirectory(planId: String): Path",统一目录管理接口,,实现,UnifiedDirectoryManager
接口,配置管理,IManusProperties,,"getBrowserHeadless(): Boolean, getBrowserRequestTimeout(): Integer, getDebugDetail(): Boolean, getMaxSteps(): Integer",配置属性接口,,实现,ManusProperties
类,配置管理,ManusProperties,"browserHeadless: Boolean, browserRequestTimeout: Integer, debugDetail: Boolean, maxSteps: Integer","getBrowserHeadless(): Boolean, setBrowserHeadless(value: Boolean): void",配置属性实现类,,实现,IManusProperties
抽象类,工具体系,AbstractBaseTool<I>,"currentPlanId: String, rootPlanId: String","isReturnDirect(): boolean, setCurrentPlanId(planId: String): void, setRootPlanId(rootPlanId: String): void, apply(input: I, context: ToolContext): ToolExecuteResult, run(input: I): ToolExecuteResult",工具抽象基类,模板方法模式,继承,ToolCallBiFunctionDef
类,工具体系,PlanningTool,"currentPlan: ExecutionPlan, objectMapper: ObjectMapper","run(input: PlanningInput): ToolExecuteResult, getCurrentPlanId(): String, getCurrentPlan(): PlanInterface, getFunctionToolCallback(): FunctionToolCallback",规划工具实现,,继承,AbstractBaseTool
类,工具体系,FormInputTool,userInputService: IUserInputService,run(input: UserFormInput): ToolExecuteResult,表单输入工具,,继承,AbstractBaseTool
类,工具体系,TerminateTool,,run(input: Map<String, Object>): ToolExecuteResult canTerminate(): boolean,终止工具,,继承,AbstractBaseTool
类,工具体系,DocLoaderTool,,run(input: DocLoaderInput): ToolExecuteResult,文档加载工具,,继承,AbstractBaseTool
类,工具体系,MapReducePlanningTool,currentPlan: MapReduceExecutionPlan,"apply(input: String): ToolExecuteResult, getCurrentPlanId(): String",MapReduce规划工具,,继承,AbstractBaseTool
类,工具体系,UnifiedDirectoryManager,manusProperties: ManusProperties,"getWorkingDirectoryPath(): String, getWorkingDirectory(): Path, createTaskDirectory(taskId: String): Path, createPlanDirectory(planId: String): Path",统一目录管理器,,实现,IUnifiedDirectoryManager
抽象类,智能体系统,BaseAgent,"llmService: ILlmService, manusProperties: ManusProperties, promptService: PromptService, planExecutionRecorder: PlanExecutionRecorder, currentPlanId: String, rootPlanId: String, state: AgentState, maxSteps: int, currentStep: int, envData: Map<String, Object>","getName(): String, clearUp(planId: String): void, getNextStepWithEnvMessage(): Message, getToolCallList(): List<ToolCallback>, getToolCallBackContext(toolKey: String): ToolCallBackContext, execute(): void, setState(state: AgentState): void",智能体抽象基类,模板方法模式,组合,AgentState
枚举,智能体系统,AgentState,"NOT_STARTED, IN_PROGRESS, COMPLETED, BLOCKED, FAILED",getState(): String,智能体状态枚举,,被组合,BaseAgent
类,规划系统,PlanningCoordinator,"planCreator: PlanCreator, planExecutorFactory: PlanExecutorFactory, planFinalizer: PlanFinalizer","createPlan(context: ExecutionContext): ExecutionContext, createAndExecutePlan(context: ExecutionContext): ExecutionContext, executePlan(context: ExecutionContext): ExecutionContext, finalizePlan(context: ExecutionContext): ExecutionContext",规划协调器,组合模式,组合,"PlanCreator, PlanExecutorFactory, PlanFinalizer"
类,规划系统,PlanCreator,"agents: List<DynamicAgentEntity>, llmService: ILlmService, planningTool: PlanningToolInterface, recorder: PlanExecutionRecorder, promptService: PromptService, manusProperties: ManusProperties","createPlan(context: ExecutionContext): void, buildAgentsInfo(agents: List<DynamicAgentEntity>): String, generatePlanPrompt(userRequest: String, agentsInfo: String): String",计划创建器,,被组合,PlanningCoordinator
抽象类,规划系统,AbstractPlanExecutor,"recorder: PlanExecutionRecorder, agents: List<DynamicAgentEntity>, agentService: AgentService, llmService: ILlmService, manusProperties: ManusProperties, pattern: Pattern","executeStep(step: ExecutionStep, context: ExecutionContext): BaseAgent, getStepFromStepReq(stepRequirement: String): String, parseColumns(columnsInString: String): List<String>, performCleanup(context: ExecutionContext, lastExecutor: BaseAgent): void",抽象计划执行器,模板方法模式,实现,PlanExecutorInterface
类,规划系统,PlanExecutor,,executeAllSteps(context: ExecutionContext): void,标准计划执行器,,继承,AbstractPlanExecutor
类,规划系统,MapReducePlanExecutor,executorService: ExecutorService,"executeAllSteps(context: ExecutionContext): void, executeSequentialNode(node: SequentialNode, context: ExecutionContext, lastExecutor: BaseAgent): BaseAgent, executeMapReduceNode(node: MapReduceNode, context: ExecutionContext, lastExecutor: BaseAgent): BaseAgent, executeMapPhase(steps: List<ExecutionStep>, context: ExecutionContext, toolContext: ToolCallBackContext): BaseAgent, executeReducePhase(steps: List<ExecutionStep>, context: ExecutionContext): BaseAgent, shutdown(): void",MapReduce计划执行器,,继承,AbstractPlanExecutor
类,规划系统,PlanFinalizer,"llmService: ILlmService, recorder: PlanExecutionRecorder, promptService: PromptService, manusProperties: ManusProperties",finalizePlan(context: ExecutionContext): void,计划完成器,,被组合,PlanningCoordinator
接口,业务服务层,AgentService,,"getAllAgents(): List<AgentConfig>, getAllAgentsByNamespace(namespace: String): List<AgentConfig>, getAgentById(id: String): AgentConfig, createAgent(agentConfig: AgentConfig): AgentConfig, updateAgent(agentConfig: AgentConfig): AgentConfig, deleteAgent(id: String): void, getAvailableTools(): List<Tool>, createDynamicBaseAgent(name: String, planId: String, rootPlanId: String, settings: Map<String, Object>, columns: List<String>): BaseAgent",智能体服务接口,,实现,AgentServiceImpl
类,业务服务层,AgentServiceImpl,"dynamicAgentLoader: IDynamicAgentLoader, repository: DynamicAgentRepository, planningFactory: IPlanningFactory, mcpService: IMcpService, llmService: ILlmService, toolCallingManager: ToolCallingManager","getAllAgents(): List<AgentConfig>, createAgent(agentConfig: AgentConfig): AgentConfig, createDynamicBaseAgent(name: String, planId: String, rootPlanId: String, settings: Map<String, Object>, columns: List<String>): BaseAgent",智能体服务实现,,实现,AgentService
接口,业务服务层,ModelService,,"getAllModels(): List<ModelConfig>, getModelById(id: String): ModelConfig, createModel(modelConfig: ModelConfig): ModelConfig, updateModel(modelConfig: ModelConfig): ModelConfig, deleteModel(id: String): void",模型服务接口,,实现,ModelServiceImpl
类,业务服务层,ModelServiceImpl,"repository: DynamicModelRepository, agentRepository: DynamicAgentRepository","getAllModels(): List<ModelConfig>, createModel(modelConfig: ModelConfig): ModelConfig, updateModel(modelConfig: ModelConfig): ModelConfig, deleteModel(id: String): void",模型服务实现,,实现,ModelService
