分类,子分类,项目名称,数量,占比,重要性,复杂度,备注
类图统计,总体统计,类和接口总数,43,100%,高,中,包含所有类、接口、抽象类、枚举
类图统计,按类型分布,接口,14,32.6%,高,低,定义系统核心抽象
类图统计,按类型分布,抽象类,3,7.0%,高,高,提供模板方法实现
类图统计,按类型分布,具体类,25,58.1%,中,中,实现具体业务逻辑
类图统计,按类型分布,枚举,1,2.3%,低,低,定义状态常量
类图统计,按包分布,核心接口,6,14.0%,高,中,系统核心抽象定义
类图统计,按包分布,配置管理,2,4.7%,中,低,系统配置相关
类图统计,按包分布,工具体系,7,16.3%,高,高,工具调用框架
类图统计,按包分布,智能体系统,2,4.7%,高,高,智能体核心逻辑
类图统计,按包分布,规划系统,6,14.0%,高,高,任务规划执行
类图统计,按包分布,业务服务层,6,14.0%,高,中,业务逻辑封装
类图统计,按包分布,控制器层,6,14.0%,中,低,HTTP请求处理
类图统计,按包分布,数据层,6,14.0%,中,低,数据实体定义
类图统计,按包分布,仓库层,6,14.0%,中,低,数据访问抽象
类图统计,按包分布,值对象,5,11.6%,中,低,数据传输对象
类图统计,按包分布,工厂模式,2,4.7%,中,中,对象创建管理
类图统计,设计模式应用,策略模式,3,7.0%,高,中,PlanExecutorInterface及实现类
类图统计,设计模式应用,模板方法模式,3,7.0%,高,高,AbstractBaseTool等抽象类
类图统计,设计模式应用,工厂模式,2,4.7%,中,中,PlanningFactory等工厂类
类图统计,设计模式应用,组合模式,1,2.3%,中,中,PlanningCoordinator组合模式
类图统计,关系类型统计,继承关系,8,18.6%,高,中,类的继承层次
类图统计,关系类型统计,实现关系,10,23.3%,高,中,接口的实现
类图统计,关系类型统计,组合关系,8,18.6%,高,高,强依赖关系
类图统计,关系类型统计,聚合关系,8,18.6%,中,中,弱依赖关系
类图统计,关系类型统计,依赖关系,9,20.9%,中,低,使用依赖关系
用例图统计,总体统计,用例总数,62,100%,高,中,包含所有功能用例
用例图统计,按包分布,任务执行管理,5,8.1%,高,中,核心任务处理功能
用例图统计,按包分布,智能体管理,6,9.7%,高,高,智能体配置管理
用例图统计,按包分布,计划模板管理,5,8.1%,中,中,计划模板相关
用例图统计,按包分布,AI模型管理,5,8.1%,高,中,AI模型配置
用例图统计,按包分布,提示词管理,5,8.1%,中,低,提示词模板管理
用例图统计,按包分布,MCP协议集成,5,8.1%,中,中,MCP工具集成
用例图统计,按包分布,工具生态集成,5,8.1%,高,高,外部工具集成
